#ies_format_version: 1.0
#file: 20250717_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	channel1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	channel1
20250717;	173230;	1752753750.000;	       err32
20250717;	173235;	1752753755.000;	        err8
20250717;	173240;	1752753760.000;	        err8
20250717;	173245;	1752753765.000;	        err8
20250717;	173250;	1752753770.000;	        err7
20250717;	173255;	1752753775.000;	       err19
20250717;	173300;	1752753780.000;	       err19
20250717;	173305;	1752753785.000;	       err19
20250717;	173310;	1752753790.000;	       err19
20250717;	173315;	1752753795.000;	       err19
20250717;	173320;	1752753800.000;	       err19
20250717;	173325;	1752753805.000;	       err19
20250717;	173330;	1752753810.000;	       err19
20250717;	173335;	1752753815.000;	       err19
20250717;	173340;	1752753820.000;	       err19
20250717;	173345;	1752753825.000;	       err19
20250717;	173350;	1752753830.000;	       err19
20250717;	173355;	1752753835.000;	       err19
20250717;	173400;	1752753840.000;	       err19
20250717;	173405;	1752753845.000;	       err19
20250717;	173410;	1752753850.000;	       err19
20250717;	173415;	1752753855.000;	       err19
20250717;	173420;	1752753860.000;	       err19
20250717;	173425;	1752753865.000;	       err19
20250717;	173430;	1752753870.000;	       err19
20250717;	173435;	1752753875.000;	       err19
20250717;	173440;	1752753880.000;	       err19
20250717;	173445;	1752753885.000;	       err19
20250717;	173450;	1752753890.000;	       err19
20250717;	173455;	1752753895.000;	       err19
20250717;	173500;	1752753900.000;	       err19
20250717;	173505;	1752753905.000;	       err19
20250717;	173510;	1752753910.000;	       err19
20250717;	173515;	1752753915.000;	       err19
20250717;	173520;	1752753920.000;	       err19
20250717;	173525;	1752753925.000;	       err19
20250717;	173530;	1752753930.000;	       err19
20250717;	173535;	1752753935.000;	       err19
20250717;	173540;	1752753940.000;	       err19
20250717;	173545;	1752753945.000;	       err19
20250717;	173550;	1752753950.000;	       err19
20250717;	173555;	1752753955.000;	       err19
20250717;	173600;	1752753960.000;	       err19
20250717;	173605;	1752753965.000;	       err19
20250717;	173610;	1752753970.000;	       err19
20250717;	173615;	1752753975.000;	       err19
20250717;	173620;	1752753980.000;	       err19
20250717;	173625;	1752753985.000;	       err19
20250717;	173630;	1752753990.000;	       err19
20250717;	173635;	1752753995.000;	       err19
20250717;	173640;	1752754000.000;	       err19
20250717;	173645;	1752754005.000;	       err19
20250717;	173650;	1752754010.000;	       err19
20250717;	173655;	1752754015.000;	       err19
20250717;	173700;	1752754020.000;	       err19
20250717;	173705;	1752754025.000;	       err19
20250717;	173710;	1752754030.000;	       err19
20250717;	173715;	1752754035.000;	       err19
20250717;	173720;	1752754040.000;	       err19
20250717;	173725;	1752754045.000;	       err19
20250717;	173730;	1752754050.000;	       err19
20250717;	173735;	1752754055.000;	       err19
20250717;	173740;	1752754060.000;	       err19
20250717;	173745;	1752754065.000;	       err19
20250717;	173750;	1752754070.000;	       err19
20250717;	173755;	1752754075.000;	       err19
20250717;	173800;	1752754080.000;	       err19
20250717;	173805;	1752754085.000;	       err19
20250717;	173810;	1752754090.000;	       err19
20250717;	173815;	1752754095.000;	       err19
20250717;	173820;	1752754100.000;	       err19
20250717;	173825;	1752754105.000;	       err19
20250717;	173830;	1752754110.000;	       err19
20250717;	173835;	1752754115.000;	       err19
20250717;	173840;	1752754120.000;	       err19
20250717;	173845;	1752754125.000;	       err19
20250717;	173850;	1752754130.000;	       err19
20250717;	173855;	1752754135.000;	       err19
20250717;	173900;	1752754140.000;	       err19
20250717;	173905;	1752754145.000;	       err19
20250717;	173910;	1752754150.000;	       err32
20250717;	173915;	1752754155.000;	       err32
20250717;	173920;	1752754160.000;	       err32
20250717;	173925;	1752754165.000;	       err32
20250717;	173930;	1752754170.000;	       err32
20250717;	173935;	1752754175.000;	       err32
20250717;	173940;	1752754180.000;	       err32
20250717;	173945;	1752754185.000;	       err32
20250717;	173950;	1752754190.000;	       err32
20250717;	173955;	1752754195.000;	       err32
20250717;	174000;	1752754200.000;	       err32
20250717;	174005;	1752754205.000;	       err32
20250717;	174010;	1752754210.000;	       err32
20250717;	174015;	1752754215.000;	       err32
20250717;	174020;	1752754220.000;	       err32
20250717;	174025;	1752754225.000;	       err32
20250717;	174030;	1752754230.000;	       err32
20250717;	174035;	1752754235.000;	       err32
20250717;	174040;	1752754240.000;	       err32
20250717;	174045;	1752754245.000;	       err32
20250717;	174050;	1752754250.000;	       err32
20250717;	174055;	1752754255.000;	       err32
20250717;	174100;	1752754260.000;	       err32
20250717;	174105;	1752754265.000;	       err32
20250717;	174110;	1752754270.000;	       err32
20250717;	174115;	1752754275.000;	        err9
20250717;	174120;	1752754280.000;	        err9
20250717;	174125;	1752754285.000;	        err9
20250717;	174130;	1752754290.000;	        err9
20250717;	174135;	1752754295.000;	        err9
20250717;	174140;	1752754300.000;	        err9
20250717;	174145;	1752754305.000;	        err9
20250717;	174150;	1752754310.000;	        err9
20250717;	174155;	1752754315.000;	        err9
20250717;	174200;	1752754320.000;	        err9
20250717;	174205;	1752754325.000;	        err9
20250717;	174210;	1752754330.000;	        err9
20250717;	174215;	1752754335.000;	        err9
20250717;	174220;	1752754340.000;	        err9
20250717;	174225;	1752754345.000;	        err9
20250717;	174230;	1752754350.000;	       err32
20250717;	174235;	1752754355.000;	       err32
20250717;	174240;	1752754360.000;	       err32
20250717;	174245;	1752754365.000;	        err9
20250717;	174250;	1752754370.000;	        err9
20250717;	174255;	1752754375.000;	        err9
20250717;	174300;	1752754380.000;	        err9
20250717;	174305;	1752754385.000;	        err9
20250717;	174310;	1752754390.000;	        err9
20250717;	174315;	1752754395.000;	        err9
20250717;	174320;	1752754400.000;	        err9
20250717;	174325;	1752754405.000;	        err9
20250717;	174330;	1752754410.000;	        err9
20250717;	174335;	1752754415.000;	        err9
20250717;	174340;	1752754420.000;	        err9
20250717;	174345;	1752754425.000;	        err8
20250717;	174350;	1752754430.000;	        err9
20250717;	174355;	1752754435.000;	        err9
20250717;	174400;	1752754440.000;	        err9
20250717;	174405;	1752754445.000;	        err9
20250717;	174410;	1752754450.000;	        err9
20250717;	174415;	1752754455.000;	        err9
20250717;	174420;	1752754460.000;	        err9
20250717;	174425;	1752754465.000;	        err9
20250717;	174430;	1752754470.000;	        err9
20250717;	174435;	1752754475.000;	        err9
20250717;	174440;	1752754480.000;	        err9
20250717;	174445;	1752754485.000;	        err9
20250717;	174450;	1752754490.000;	        err9
20250717;	174455;	1752754495.000;	        err9
20250717;	174500;	1752754500.000;	        err9
20250717;	174505;	1752754505.000;	        err9
20250717;	174510;	1752754510.000;	        err9
20250717;	174515;	1752754515.000;	        err9
20250717;	174520;	1752754520.000;	        err9
20250717;	174525;	1752754525.000;	        err9
20250717;	174530;	1752754530.000;	        err9
20250717;	174535;	1752754535.000;	        err9
20250717;	174540;	1752754540.000;	        err9
20250717;	174545;	1752754545.000;	        err9
20250717;	174550;	1752754550.000;	        err9
20250717;	174555;	1752754555.000;	        err9
20250717;	174600;	1752754560.000;	        err9
20250717;	174605;	1752754565.000;	        err9
20250717;	174610;	1752754570.000;	        err9
20250717;	174615;	1752754575.000;	        err9
20250717;	174620;	1752754580.000;	        err9
20250717;	174625;	1752754585.000;	        err9
20250717;	174630;	1752754590.000;	        err9
20250717;	174635;	1752754595.000;	        err9
20250717;	174640;	1752754600.000;	        err9
20250717;	174645;	1752754605.000;	        err9
20250717;	174650;	1752754610.000;	        err8
20250717;	174655;	1752754615.000;	        err9
20250717;	174700;	1752754620.000;	        err9
20250717;	174705;	1752754625.000;	        err9
20250717;	174710;	1752754630.000;	        err9
20250717;	174715;	1752754635.000;	        err9
20250717;	174720;	1752754640.000;	        err9
20250717;	174725;	1752754645.000;	        err9
20250717;	174730;	1752754650.000;	        err9
20250717;	174735;	1752754655.000;	        err9
20250717;	174740;	1752754660.000;	       err32
20250717;	174745;	1752754665.000;	       err32
20250717;	174750;	1752754670.000;	       err32
20250717;	174755;	1752754675.000;	       err32
20250717;	174800;	1752754680.000;	       err32
20250717;	174805;	1752754685.000;	       err32
20250717;	174810;	1752754690.000;	       err32
20250717;	174815;	1752754695.000;	        err9
20250717;	174820;	1752754700.000;	        err9
20250717;	174825;	1752754705.000;	        err9
20250717;	174830;	1752754710.000;	        err9
20250717;	174835;	1752754715.000;	        err9
20250717;	174840;	1752754720.000;	        err9
20250717;	174845;	1752754725.000;	        err9
20250717;	174850;	1752754730.000;	        err9
20250717;	174855;	1752754735.000;	        err9
20250717;	174900;	1752754740.000;	       err32
20250717;	174905;	1752754745.000;	       err32
20250717;	174910;	1752754750.000;	       err32
20250717;	174915;	1752754755.000;	       err32
20250717;	174920;	1752754760.000;	       err32
20250717;	174925;	1752754765.000;	       err32
20250717;	174930;	1752754770.000;	       err32
20250717;	174935;	1752754775.000;	       err32
20250717;	174940;	1752754780.000;	       err32
20250717;	174945;	1752754785.000;	       err32
20250717;	174950;	1752754790.000;	       err32
20250717;	174955;	1752754795.000;	       err32
20250717;	175000;	1752754800.000;	       err32
20250717;	175005;	1752754805.000;	       err32
20250717;	175010;	1752754810.000;	       err32
20250717;	175015;	1752754815.000;	       err32
20250717;	175020;	1752754820.000;	       err32
20250717;	175025;	1752754825.000;	       err32
20250717;	175030;	1752754830.000;	       err32
20250717;	175035;	1752754835.000;	       err32
20250717;	175040;	1752754840.000;	        err9
20250717;	175045;	1752754845.000;	       err32
20250717;	175050;	1752754850.000;	       err32
20250717;	175055;	1752754855.000;	       err32
20250717;	175100;	1752754860.000;	       err32
20250717;	175105;	1752754865.000;	       err32
20250717;	175110;	1752754870.000;	       err32
20250717;	175115;	1752754875.000;	       err32
20250717;	175120;	1752754880.000;	       err32
20250717;	175125;	1752754885.000;	       err32
20250717;	175130;	1752754890.000;	       err32
20250717;	175135;	1752754895.000;	       err32
20250717;	175140;	1752754900.000;	       err32
20250717;	175145;	1752754905.000;	       err32
20250717;	175150;	1752754910.000;	       err32
20250717;	175155;	1752754915.000;	       err32
20250717;	175200;	1752754920.000;	       err32
20250717;	175205;	1752754925.000;	       err32
20250717;	175210;	1752754930.000;	       err32
20250717;	175215;	1752754935.000;	       err32
20250717;	175220;	1752754940.000;	       err32
20250717;	175225;	1752754945.000;	       err32
20250717;	175230;	1752754950.000;	       err32
20250717;	175235;	1752754955.000;	       err32
20250717;	175240;	1752754960.000;	       err32
20250717;	175245;	1752754965.000;	       err32
20250717;	175250;	1752754970.000;	       err32
20250717;	175255;	1752754975.000;	       err32
20250717;	175300;	1752754980.000;	       err32
20250717;	175305;	1752754985.000;	       err32
20250717;	175310;	1752754990.000;	       err32
20250717;	175315;	1752754995.000;	       err32
20250717;	175320;	1752755000.000;	       err32
20250717;	175325;	1752755005.000;	       err32
20250717;	175330;	1752755010.000;	       err32
20250717;	175335;	1752755015.000;	       err32
20250717;	175340;	1752755020.000;	       err32
20250717;	175345;	1752755025.000;	       err32
20250717;	175350;	1752755030.000;	       err32
20250717;	175355;	1752755035.000;	       err32
20250717;	175400;	1752755040.000;	       err32
20250717;	175405;	1752755045.000;	       err32
20250717;	175410;	1752755050.000;	       err32
20250717;	175415;	1752755055.000;	       err32
20250717;	175420;	1752755060.000;	       err32
20250717;	175425;	1752755065.000;	        err9
20250717;	175430;	1752755070.000;	        err9
20250717;	175435;	1752755075.000;	       err32
20250717;	175440;	1752755080.000;	       err32
20250717;	175445;	1752755085.000;	       err32
20250717;	175450;	1752755090.000;	       err32
20250717;	175455;	1752755095.000;	       err32
20250717;	175500;	1752755100.000;	       err32
20250717;	175505;	1752755105.000;	       err32
20250717;	175510;	1752755110.000;	       err32
20250717;	175515;	1752755115.000;	       err32
20250717;	175520;	1752755120.000;	       err32
20250717;	175525;	1752755125.000;	       err32
20250717;	175530;	1752755130.000;	       err32
20250717;	175535;	1752755135.000;	       err32
20250717;	175540;	1752755140.000;	       err32
20250717;	175545;	1752755145.000;	       err32
20250717;	175550;	1752755150.000;	       err32
20250717;	175555;	1752755155.000;	       err32
20250717;	175600;	1752755160.000;	       err32
20250717;	175605;	1752755165.000;	       err32
20250717;	175610;	1752755170.000;	       err32
20250717;	175615;	1752755175.000;	       err32
20250717;	175620;	1752755180.000;	       err32
20250717;	175625;	1752755185.000;	       err32
20250717;	175630;	1752755190.000;	       err32
20250717;	175635;	1752755195.000;	       err32
20250717;	175640;	1752755200.000;	       err32
20250717;	175645;	1752755205.000;	       err32
20250717;	175650;	1752755210.000;	       err32
20250717;	175655;	1752755215.000;	       err32
20250717;	175700;	1752755220.000;	       err32
20250717;	175705;	1752755225.000;	       err32
20250717;	175710;	1752755230.000;	       err32
20250717;	175715;	1752755235.000;	       err32
20250717;	175720;	1752755240.000;	       err32
20250717;	175725;	1752755245.000;	       err32
20250717;	175730;	1752755250.000;	       err32
20250717;	175735;	1752755255.000;	       err32
20250717;	175740;	1752755260.000;	       err32
20250717;	175745;	1752755265.000;	       err32
20250717;	175750;	1752755270.000;	       err32
20250717;	175755;	1752755275.000;	       err32
20250717;	175800;	1752755280.000;	       err32
20250717;	175805;	1752755285.000;	       err32
20250717;	175810;	1752755290.000;	       err32
20250717;	175815;	1752755295.000;	       err32
20250717;	175820;	1752755300.000;	       err32
20250717;	175825;	1752755305.000;	       err32
20250717;	175830;	1752755310.000;	       err32
20250717;	175835;	1752755315.000;	       err32
20250717;	175840;	1752755320.000;	       err32
20250717;	175845;	1752755325.000;	       err32
20250717;	175850;	1752755330.000;	       err32
20250717;	175855;	1752755335.000;	       err32
20250717;	175900;	1752755340.000;	       err32
20250717;	175905;	1752755345.000;	       err32
20250717;	175910;	1752755350.000;	       err32
20250717;	175915;	1752755355.000;	       err32
20250717;	175920;	1752755360.000;	       err32
20250717;	175925;	1752755365.000;	       err32
20250717;	175930;	1752755370.000;	       err32
20250717;	175935;	1752755375.000;	       err32
20250717;	175940;	1752755380.000;	       err32
20250717;	175945;	1752755385.000;	       err32
20250717;	175950;	1752755390.000;	       err32
20250717;	175955;	1752755395.000;	       err32
20250717;	180000;	1752755400.000;	       err32
20250717;	180005;	1752755405.000;	       err32
20250717;	180010;	1752755410.000;	       err32
20250717;	180015;	1752755415.000;	       err32
20250717;	180020;	1752755420.000;	       err32
20250717;	180025;	1752755425.000;	       err32
20250717;	180030;	1752755430.000;	       err32
20250717;	180035;	1752755435.000;	       err32
20250717;	180040;	1752755440.000;	       err32
20250717;	180045;	1752755445.000;	       err32
20250717;	180050;	1752755450.000;	       err32
20250717;	180055;	1752755455.000;	       err32
20250717;	180100;	1752755460.000;	       err32
20250717;	180105;	1752755465.000;	       err32
20250717;	180110;	1752755470.000;	       err32
20250717;	180115;	1752755475.000;	       err32
20250717;	180120;	1752755480.000;	       err32
20250717;	180125;	1752755485.000;	       err32
20250717;	180130;	1752755490.000;	       err32
20250717;	180135;	1752755495.000;	       err32
20250717;	180140;	1752755500.000;	       err32
20250717;	180145;	1752755505.000;	       err32
20250717;	180150;	1752755510.000;	        err8
20250717;	180155;	1752755515.000;	        err9
