#ies_format_version: 1.0
#file: 20250718_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	healthStatus;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#005;	breakerPosition;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#006;	frequency;	FALSE;	TRUE;	0;	other;	FLOAT,9. -
YYYYMMDD;	hhmmss;	unixtimestamp;	healthStatus;	breakerPosition;	frequency
20250718;	103915;	1752815355.000;	 err32;	 err32;	    err32
20250718;	103920;	1752815360.000;	 err32;	 err32;	    err32
20250718;	103925;	1752815365.000;	 err32;	 err32;	    err32
20250718;	103930;	1752815370.000;	 err32;	 err32;	    err32
20250718;	103935;	1752815375.000;	 err32;	 err32;	    err32
20250718;	103940;	1752815380.000;	 err32;	 err32;	    err32
20250718;	103945;	1752815385.000;	 err32;	 err32;	    err32
20250718;	103950;	1752815390.000;	 err32;	 err32;	    err32
20250718;	103955;	1752815395.000;	 err32;	 err32;	    err32
20250718;	104000;	1752815400.000;	 err32;	 err32;	    err32
20250718;	104005;	1752815405.000;	 err32;	 err32;	    err32
20250718;	104010;	1752815410.000;	 err32;	 err32;	    err32
20250718;	104015;	1752815415.000;	 err32;	 err32;	    err32
20250718;	104020;	1752815420.000;	 err32;	 err32;	    err32
20250718;	104025;	1752815425.000;	 err32;	 err32;	    err32
20250718;	104030;	1752815430.000;	 err32;	 err32;	    err32
20250718;	104035;	1752815435.000;	 err32;	 err32;	    err32
20250718;	104040;	1752815440.000;	 err32;	 err32;	    err32
20250718;	104045;	1752815445.000;	 err32;	 err32;	    err32
20250718;	104050;	1752815450.000;	 err32;	 err32;	    err32
20250718;	104055;	1752815455.000;	 err32;	 err32;	    err32
20250718;	104100;	1752815460.000;	 err32;	 err32;	    err32
20250718;	104105;	1752815465.000;	 err32;	 err32;	    err32
20250718;	104110;	1752815470.000;	 err32;	 err32;	    err32
20250718;	104115;	1752815475.000;	 err32;	 err32;	    err32
20250718;	104120;	1752815480.000;	 err32;	 err32;	    err32
20250718;	104125;	1752815485.000;	 err32;	 err32;	    err32
20250718;	104130;	1752815490.000;	 err32;	 err32;	    err32
20250718;	104135;	1752815495.000;	 err32;	 err32;	    err32
20250718;	104140;	1752815500.000;	 err32;	 err32;	    err32
20250718;	104145;	1752815505.000;	 err32;	 err32;	    err32
20250718;	104150;	1752815510.000;	 err32;	 err32;	    err32
20250718;	104155;	1752815515.000;	 err32;	 err32;	    err32
20250718;	104200;	1752815520.000;	 err32;	 err32;	    err32
20250718;	104205;	1752815525.000;	 err32;	 err32;	    err32
20250718;	104210;	1752815530.000;	 err32;	 err32;	    err32
20250718;	104215;	1752815535.000;	 err32;	 err32;	    err32
20250718;	104220;	1752815540.000;	 err32;	 err32;	    err32
20250718;	104225;	1752815545.000;	 err32;	 err32;	    err32
20250718;	104230;	1752815550.000;	 err32;	 err32;	    err32
20250718;	104235;	1752815555.000;	 err32;	 err32;	    err32
20250718;	104240;	1752815560.000;	 err32;	 err32;	    err32
20250718;	104245;	1752815565.000;	 err32;	 err32;	    err32
20250718;	104250;	1752815570.000;	 err32;	 err32;	    err32
20250718;	104255;	1752815575.000;	 err32;	 err32;	    err32
20250718;	104300;	1752815580.000;	 err32;	 err32;	    err32
20250718;	104305;	1752815585.000;	 err32;	 err32;	    err32
20250718;	104310;	1752815590.000;	 err32;	 err32;	    err32
20250718;	104315;	1752815595.000;	 err32;	 err32;	    err32
20250718;	104320;	1752815600.000;	 err32;	 err32;	    err32
20250718;	104325;	1752815605.000;	 err32;	 err32;	    err32
20250718;	104330;	1752815610.000;	 err32;	 err32;	    err32
20250718;	104335;	1752815615.000;	 err32;	 err32;	    err32
20250718;	104340;	1752815620.000;	 err32;	 err32;	    err32
20250718;	104345;	1752815625.000;	 err32;	 err32;	    err32
20250718;	104350;	1752815630.000;	 err32;	 err32;	    err32
20250718;	104355;	1752815635.000;	 err32;	 err32;	    err32
20250718;	104400;	1752815640.000;	 err32;	 err32;	    err32
20250718;	104405;	1752815645.000;	 err32;	 err32;	    err32
20250718;	104410;	1752815650.000;	 err32;	 err32;	    err32
20250718;	104415;	1752815655.000;	 err32;	 err32;	    err32
20250718;	104420;	1752815660.000;	 err32;	 err32;	    err32
20250718;	104425;	1752815665.000;	 err32;	 err32;	    err32
20250718;	104430;	1752815670.000;	 err32;	 err32;	    err32
20250718;	104435;	1752815675.000;	 err32;	 err32;	    err32
20250718;	104440;	1752815680.000;	 err32;	 err32;	    err32
20250718;	104445;	1752815685.000;	 err32;	 err32;	    err32
20250718;	104450;	1752815690.000;	 err32;	 err32;	    err32
20250718;	104455;	1752815695.000;	 err32;	 err32;	    err32
20250718;	104500;	1752815700.000;	 err32;	 err32;	    err32
20250718;	104505;	1752815705.000;	 err32;	 err32;	    err32
20250718;	104510;	1752815710.000;	 err32;	 err32;	    err32
20250718;	104515;	1752815715.000;	 err32;	 err32;	    err32
20250718;	104520;	1752815720.000;	 err32;	 err32;	    err32
20250718;	104525;	1752815725.000;	 err32;	 err32;	    err32
20250718;	104530;	1752815730.000;	 err32;	 err32;	    err32
20250718;	104535;	1752815735.000;	 err32;	 err32;	    err32
20250718;	104540;	1752815740.000;	 err32;	 err32;	    err32
20250718;	104545;	1752815745.000;	 err32;	 err32;	    err32
20250718;	104550;	1752815750.000;	 err32;	 err32;	    err32
20250718;	104555;	1752815755.000;	 err32;	 err32;	    err32
20250718;	104600;	1752815760.000;	 err32;	 err32;	    err32
20250718;	104605;	1752815765.000;	 err32;	 err32;	    err32
20250718;	104610;	1752815770.000;	 err32;	 err32;	    err32
20250718;	104615;	1752815775.000;	 err32;	 err32;	    err32
20250718;	104620;	1752815780.000;	 err32;	 err32;	    err32
20250718;	104625;	1752815785.000;	 err32;	 err32;	    err32
20250718;	104630;	1752815790.000;	 err32;	 err32;	    err32
20250718;	104635;	1752815795.000;	 err32;	 err32;	    err32
20250718;	104640;	1752815800.000;	 err32;	 err32;	    err32
20250718;	104645;	1752815805.000;	 err32;	 err32;	    err32
20250718;	104650;	1752815810.000;	 err32;	 err32;	    err32
20250718;	104655;	1752815815.000;	 err32;	 err32;	    err32
20250718;	104700;	1752815820.000;	 err32;	 err32;	    err32
20250718;	104705;	1752815825.000;	 err32;	 err32;	    err32
20250718;	104710;	1752815830.000;	 err32;	 err32;	    err32
20250718;	104715;	1752815835.000;	 err32;	 err32;	    err32
20250718;	104720;	1752815840.000;	 err32;	 err32;	    err32
20250718;	104725;	1752815845.000;	 err32;	 err32;	    err32
20250718;	104730;	1752815850.000;	 err32;	 err32;	    err32
20250718;	104735;	1752815855.000;	 err32;	 err32;	    err32
20250718;	104740;	1752815860.000;	 err32;	 err32;	    err32
20250718;	104745;	1752815865.000;	 err32;	 err32;	    err32
20250718;	104750;	1752815870.000;	 err32;	 err32;	    err32
20250718;	104755;	1752815875.000;	 err32;	 err32;	    err32
20250718;	104800;	1752815880.000;	 err32;	 err32;	    err32
20250718;	104805;	1752815885.000;	 err32;	 err32;	    err32
20250718;	104810;	1752815890.000;	 err32;	 err32;	    err32
20250718;	104815;	1752815895.000;	 err32;	 err32;	    err32
20250718;	104820;	1752815900.000;	 err32;	 err32;	    err32
20250718;	104825;	1752815905.000;	 err32;	 err32;	    err32
20250718;	104830;	1752815910.000;	 err32;	 err32;	    err32
20250718;	104835;	1752815915.000;	 err32;	 err32;	    err32
20250718;	104840;	1752815920.000;	 err32;	 err32;	    err32
20250718;	104845;	1752815925.000;	 err32;	 err32;	    err32
20250718;	104850;	1752815930.000;	 err32;	 err32;	    err32
20250718;	104855;	1752815935.000;	 err32;	 err32;	    err32
20250718;	104900;	1752815940.000;	 err32;	 err32;	    err32
20250718;	104905;	1752815945.000;	 err32;	 err32;	    err32
20250718;	104910;	1752815950.000;	 err32;	 err32;	    err32
20250718;	104915;	1752815955.000;	 err32;	 err32;	    err32
20250718;	104920;	1752815960.000;	 err32;	 err32;	    err32
20250718;	104925;	1752815965.000;	 err32;	 err32;	    err32
20250718;	104930;	1752815970.000;	 err32;	 err32;	    err32
20250718;	104935;	1752815975.000;	 err32;	 err32;	    err32
20250718;	104940;	1752815980.000;	 err32;	 err32;	    err32
20250718;	104945;	1752815985.000;	 err32;	 err32;	    err32
20250718;	104950;	1752815990.000;	 err32;	 err32;	    err32
20250718;	104955;	1752815995.000;	 err32;	 err32;	    err32
20250718;	105000;	1752816000.000;	 err32;	 err32;	    err32
20250718;	105005;	1752816005.000;	 err32;	 err32;	    err32
